scope,phase,cold_samples,cold_median_us,cold_min_us,cold_max_us,warm_samples,warm_median_us,warm_min_us,warm_max_us
sdk,public_input_prepare,7,29,25,38,5,31,22,48
eu_id_prover,credential_extract,7,685,644,732,5,718,694,760
eu_id_prover,witness_generation,7,191302,190525,193151,5,179229,177161,181316
air_core,twiddles,7,1971,1813,2216,5,0,0,0
air_core,tree0-write,7,11738,11366,12236,5,10675,10440,11432
air_core,tree0-commit,7,18218,17204,21426,5,13792,13317,16748
air_core,tree1-write,7,23227,21744,23768,5,18344,18241,19050
air_core,tree1-commit,7,132088,116782,145649,5,110255,102487,121401
air_core,tree2-write,7,389180,382069,399083,5,350957,345135,379370
air_core,tree2-commit,7,39814,38565,44280,5,35951,33444,48964
air_core,post_interaction_gkr,7,185031,171414,189714,5,166328,153278,179869
air_core,post_interaction_commit,7,1999,1781,2470,5,1990,1538,2142
air_core,build-components,7,5709,5559,5977,5,5092,4997,5275
air_core,stark_prove_total,7,381069,366649,420741,5,357779,347665,398853
stwo,composition,7,254878,251779,277331,5,248805,241573,262035
stwo,composition_polynomial_generation,7,233245,228829,251375,5,228866,220641,239870
stwo,oods_evaluation,7,8585,8342,9508,5,8345,8016,9347
stwo,fri_quotients,7,27826,26795,31891,5,26460,24911,27187
stwo,proof_of_work,7,58132,54146,67937,5,59122,55003,61256
stwo,fri_opening_and_unspanned_remainder,7,31280,15884,34367,5,15281,14602,53312
air_core,total,7,1193658,1159381,1231861,5,1055948,1045786,1168143
sdk,core_prove,7,1386453,1352169,1424218,5,1235139,1224376,1348837
sdk,envelope_encode,7,503,471,679,5,492,466,597
sdk,total,7,1387009,1352796,1424737,5,1235679,1224886,1349505
