scope,phase,elapsed_us,rayon_threads,proof_thread_stack_bytes,proof_worker_stack_bytes
sdk,runtime_configuration,0,6,2097152,16777216
sdk,public_input_prepare,21,6,,
eu_id_prover,credential_extract,650,6,,
eu_id_prover,witness_generation,31608,6,,
air_core,twiddles,660,,,
air_core,tree0-write,8005,,,
air_core,tree0-commit,22732,,,
air_core,tree1-write,13885,,,
air_core,tree1-commit,58309,,,
air_core,tree2-write,217216,,,
air_core,tree2-commit,61088,,,
air_core,post_interaction_proof,1161831,,,
air_core,post_interaction_commit,5854,,,
air_core,build-components,4959,,,
air_core,stark_prove_total,188937,,,
stwo,composition,92408,,,
stwo,composition_polynomial_generation,75392,,,
stwo,oods_evaluation,6967,,,
stwo,fri_quotients,24371,,,
stwo,proof_of_work,52467,,,
stwo,fri_opening_and_unspanned_remainder,12724,,,
air_core,total,1745802,,,
sdk,core_prove,1778986,6,,
sdk,envelope_encode,486,6,,
sdk,total,1779627,6,,
